train
uuid;default;account_amount_added_12_24m;account_days_in_dc_12_24m;account_days_in_rem_12_24m;account_days_in_term_12_24m;account_incoming_debt_vs_paid_0_24m;account_status;account_worst_status_0_3m;account_worst_status_12_24m;account_worst_status_3_6m;account_worst_status_6_12m;age;avg_payment_span_0_12m;avg_payment_span_0_3m;merchant_category;merchant_group;has_paid;max_paid_inv_0_12m;max_paid_inv_0_24m;name_in_email;num_active_div_by_paid_inv_0_12m;num_active_inv;num_arch_dc_0_12m;num_arch_dc_12_24m;num_arch_ok_0_12m;num_arch_ok_12_24m;num_arch_rem_0_12m;num_arch_written_off_0_12m;num_arch_written_off_12_24m;num_unpaid_bills;status_last_archived_0_24m;status_2nd_last_archived_0_24m;status_3rd_last_archived_0_24m;status_max_archived_0_6_months;status_max_archived_0_12_months;status_max_archived_0_24_months;recovery_debt;sum_capital_paid_account_0_12m;sum_capital_paid_account_12_24m;sum_paid_inv_0_12m;time_hours;worst_status_active_inv
1;0.0;0;0.0;0.0;0.0;0.0;1.0;1.0;-1.0;1.0;-1.0;20;12.6923076923077;8.33333333333333;Dietary supplements;Health & Beauty;TRUE;31638.0;31638.0;no_match;0.153846153846154;2;0;0;13;14;0;0.0;0.0;2;1;1;1;1;1;1;0;0;0;178839;9.65333333333333;1.0
2;0.0;0;0.0;0.0;0.0;-1.0;1.0;1.0;1.0;1.0;1.0;50;25.8333333333333;25.0;Books & Magazines;Entertainment;TRUE;13749.0;13749.0;F+L;0.0;0;0;0;9;19;3;0.0;0.0;0;1;1;1;1;2;2;0;0;0;49014;13.1813888888889;-1.0
3;0.0;0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;22;20.0;18.0;Diversified entertainment;Entertainment;TRUE;29890.0;29890.0;L1+F;0.0714285714285714;1;0;0;11;0;3;0.0;0.0;1;1;1;1;1;2;2;0;0;0;124839;11.5619444444444;1.0
4;0.0;0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;36;4.6875;4.88888888888889;Diversified entertainment;Entertainment;TRUE;40040.0;40040.0;F1+L;0.03125;1;0;0;31;21;0;0.0;0.0;1;1;1;1;1;1;1;0;0;0;324676;15.7511111111111;1.0
5;0.0;0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;25;13.0;13.0;Electronic equipment & Related accessories;Electronics;TRUE;7100.0;7100.0;F+L;0.0;0;0;0;1;0;0;0.0;0.0;0;1;0;0;1;1;1;0;0;0;7100;12.6986111111111;-1.0
6;0.0;0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18;-1.0;-1.0;Dietary supplements;Health & Beauty;FALSE;0.0;0.0;L1+F;-1.0;0;0;0;0;0;0;-1.0;-1.0;0;0;0;0;0;0;0;0;0;0;0;18.3283333333333;-1.0
7;0.0;0;0.0;142.0;0.0;0.0;1.0;2.0;2.0;1.0;3.0;49;3.0;3.0;Concept stores & Miscellaneous;Leisure, Sport & Hobby;TRUE;2373.0;2373.0;L1+F;0.0;0;0;0;1;0;0;0.0;0.0;0;1;0;0;1;1;1;0;18760;8337;2373;10.2444444444444;-1.0
8;0.0;57229;0.0;0.0;0.0;0.232244230969046;1.0;1.0;1.0;1.0;1.0;34;26.9302325581395;25.8666666666667;Diversified entertainment;Entertainment;TRUE;8655.0;9645.0;F;0.0833333333333333;20;0;0;215;257;0;0.0;0.0;37;1;1;1;1;1;1;0;42206;35336;457257;12.1927777777778;1.0
9;0.0;148922;0.0;47.0;0.0;0.969055089046784;1.0;2.0;2.0;2.0;2.0;40;33.7272727272727;37.5714285714286;Diversified entertainment;Entertainment;TRUE;6075.0;9090.0;Nick;0.818181818181818;9;0;0;3;2;3;0.0;0.0;23;1;2;2;2;2;2;0;104643;32381;24390;21.4111111111111;1.0
10;0.0;0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;47;21.0;21.25;Diversified entertainment;Entertainment;TRUE;36985.0;36985.0;Nick;0.0;0;0;0;5;10;0;0.0;0.0;0;1;1;1;1;1;1;0;0;0;78620;13.3408333333333;-1.0
